unit,design,base,status,kind,seed_index,n_mutations,ra_eff,reverted_ra_eff_vs_truth,reversion_verdict,steered_n_contacts_on_mutated_positions,steered_receptor_intact,complex_plddt,interface_plddt,iptm,ptm,ipsae_min,true_jaccard
input_control_polyA,initial,initial,initial,cold_start,,0,16.111,,,0,0,67.38,62.529999999999994,0.7508,0.8284,0.3009,0.2631578947368421
input_control_polyA,design_00_s2,design_00,ok,steered,2.0,6,11.438,,,3,0,61.809999999999995,55.33,0.9104,0.9357,0.8093,0.3
input_control_polyA,design_00_s1,design_00,ok,steered,1.0,6,12.482,,,3,0,66.10000000000001,59.93000000000001,0.9196,0.943,0.8384,0.4285714285714285
input_control_polyA,design_00_s0,design_00,ok,steered,0.0,6,23.015,,,2,0,66.85,57.830000000000005,0.9122,0.9393,0.8076,0.2926829268292683
input_control_scrambled,initial,initial,initial,cold_start,,0,5.118,,,0,0,63.339999999999996,56.28999999999999,0.6924,0.7895,0.2248,0.4838709677419355
input_control_scrambled,design_00_s0,design_00,ok,steered,0.0,3,4.271,,,1,0,71.02000000000001,62.370000000000005,0.576,0.7172,0.1143,0.5333333333333333
input_control_scrambled,design_00_s2,design_00,ok,steered,2.0,3,7.844,,,2,0,67.72,58.63,0.4413,0.6489,0.0059,0.4545454545454545
input_control_scrambled,design_00_s1,design_00,ok,steered,1.0,3,9.9,,,1,0,72.53,65.05,0.7924,0.8563,0.406,0.5862068965517241
