arm,unit,design,base,seed_index,n_mutations,stored_ipsae_min,ipsae_full,ipsae_no_mut,ipsae_interface
negsteer,design_47_seq_1,initial_s2,initial,2.0,0,0.0028,0.0028,0.0028,0.0028
negsteer,design_49_seq_0,initial,initial,0.0,0,0.7743,0.7743,0.7743,0.1463
negsteer,design_49_seq_0,initial_s2,initial,2.0,0,0.7761,0.7761,0.7761,0.1558
negsteer,design_49_seq_0,initial_s1,initial,1.0,0,0.8216,0.8216,0.8216,0.1863
negsteer,design_49_seq_1,initial,initial,0.0,0,0.1922,0.1922,0.1922,0.009
negsteer,design_49_seq_1,initial_s2,initial,2.0,0,0.3286,0.3286,0.3286,0.017
negsteer,design_49_seq_1,initial_s1,initial,1.0,0,0.2004,0.2004,0.2004,0.0091
negsteer,design_51_seq_0,initial,initial,0.0,0,0.1729,0.1729,0.1729,0.0084
negsteer,design_51_seq_0,initial_s2,initial,2.0,0,0.1119,0.1119,0.1119,0.0057
negsteer,design_51_seq_0,initial_s1,initial,1.0,0,0.3225,0.3225,0.3225,0.0196
negsteer,design_51_seq_1,initial,initial,0.0,0,0.0,0.0,0.0,0.0
negsteer,design_51_seq_1,initial_s2,initial,2.0,0,0.1848,0.1848,0.1848,0.0078
negsteer,design_51_seq_1,initial_s1,initial,1.0,0,0.601,0.601,0.601,0.0688
negsteer,design_52_seq_1,initial,initial,0.0,0,0.0249,0.0249,0.0249,0.004
negsteer,design_52_seq_1,initial_s2,initial,2.0,0,0.1181,0.1181,0.1181,0.0052
negsteer,design_52_seq_1,initial_s1,initial,1.0,0,0.2044,0.2044,0.2044,0.0095
negsteer,design_57_seq_0,initial,initial,,0,0.0622,0.0622,0.0622,0.0035
negsteer,design_57_seq_0,design_01_s0,design_01,0.0,3,0.003,0.003,0.003,0.0028
negsteer,design_57_seq_0,design_00_s1,design_00,1.0,3,0.0,0.0,0.0,0.0
negsteer,design_57_seq_0,design_00_s2,design_00,2.0,3,0.1222,0.1222,0.1222,0.0067
negsteer,design_57_seq_0,design_00_s0,design_00,0.0,3,0.0,0.0,0.0,0.0
negsteer,design_57_seq_0,design_02_s0,design_02,0.0,3,0.1178,0.1178,0.1178,0.0048
negsteer,design_57_seq_0,design_02_s2,design_02,2.0,3,0.1089,0.1089,0.1089,0.0049
negsteer,design_57_seq_0,design_02_s1,design_02,1.0,3,0.1077,0.1077,0.1077,0.005
negsteer,design_57_seq_0,design_01_s2,design_01,2.0,3,0.1929,0.1929,0.1929,0.0077
negsteer,design_57_seq_0,design_01_s1,design_01,1.0,3,0.1719,0.1719,0.1719,0.0073
negsteer,design_59_seq_1,initial,initial,0.0,0,0.2162,0.2162,0.2162,0.0109
negsteer,design_59_seq_1,initial_s1,initial,1.0,0,0.1575,0.1575,0.1575,0.0072
negsteer,design_59_seq_1,initial_s2,initial,2.0,0,0.1267,0.1267,0.1267,0.0054
negsteer,design_5_seq_0,initial,initial,0.0,0,0.1888,0.1888,0.1888,0.0078
negsteer,design_5_seq_0,initial_s2,initial,2.0,0,0.2032,0.2032,0.2032,0.0086
negsteer,design_5_seq_0,initial_s1,initial,1.0,0,0.1992,0.1992,0.1992,0.0088
negsteer,design_5_seq_1,initial,initial,0.0,0,0.5765,0.5765,0.5765,0.0609
negsteer,design_5_seq_1,initial_s1,initial,1.0,0,0.5141,0.5141,0.5141,0.0476
negsteer,design_5_seq_1,initial_s2,initial,2.0,0,0.6334,0.6334,0.6334,0.0809
negsteer,design_6_seq_0,initial,initial,0.0,0,0.6335,0.6335,0.6335,0.0614
negsteer,design_6_seq_0,initial_s1,initial,1.0,0,0.3868,0.3868,0.3868,0.0202
negsteer,design_6_seq_0,initial_s2,initial,2.0,0,0.5307,0.5307,0.5307,0.0394
negsteer,design_6_seq_1,initial,initial,0.0,0,0.7915,0.7915,0.7915,0.1403
negsteer,design_6_seq_1,initial_s2,initial,2.0,0,0.8111,0.8111,0.8111,0.1662
negsteer,design_6_seq_1,initial_s1,initial,1.0,0,0.694,0.694,0.694,0.0914
negsteer,design_8_seq_0,initial,initial,,0,0.1356,0.1356,0.1356,0.0044
negsteer,design_8_seq_0,design_00_s1,design_00,1.0,3,0.5787,0.5787,0.5787,0.0663
negsteer,design_8_seq_0,design_01_s0,design_01,0.0,3,0.0536,0.0536,0.0471,0.0051
negsteer,design_8_seq_0,design_02_s2,design_02,2.0,3,0.2053,0.2053,0.2053,0.0131
negsteer,design_8_seq_0,design_00_s0,design_00,0.0,3,0.5893,0.5893,0.5893,0.0687
negsteer,design_8_seq_0,design_02_s0,design_02,0.0,3,0.1866,0.1866,0.1866,0.0106
negsteer,design_8_seq_0,design_02_s1,design_02,1.0,3,0.1418,0.1418,0.1418,0.0074
negsteer,design_8_seq_0,design_00_s2,design_00,2.0,3,0.7398,0.7398,0.7398,0.1171
negsteer,design_8_seq_0,design_01_s1,design_01,1.0,3,0.0978,0.0978,0.0912,0.0071
negsteer,design_8_seq_0,design_01_s2,design_01,2.0,3,0.1583,0.1583,0.1583,0.0095
negsteer+constraints,design_11_seq_0,initial,initial,0.0,0,0.8414,0.8414,0.8414,0.3506
negsteer+constraints,design_11_seq_0,initial_s2,initial,2.0,0,0.8337,0.8337,0.8337,0.3378
negsteer+constraints,design_11_seq_0,initial_s1,initial,1.0,0,0.8585,0.8585,0.8585,0.3793
negsteer+constraints,design_11_seq_1,initial,initial,,0,0.5473,0.5473,0.5473,0.0767
negsteer+constraints,design_11_seq_1,design_02_s2,design_02,2.0,3,0.8868,0.8868,0.8816,0.4397
negsteer+constraints,design_11_seq_1,design_02_s0,design_02,0.0,3,0.9026,0.9026,0.8973,0.4773
negsteer+constraints,design_11_seq_1,design_01_s1,design_01,1.0,3,0.8701,0.8701,0.8656,0.4072
negsteer+constraints,design_11_seq_1,design_01_s0,design_01,0.0,3,0.8518,0.8518,0.847,0.3686
negsteer+constraints,design_11_seq_1,design_02_s1,design_02,1.0,3,0.9009,0.9009,0.8955,0.4693
negsteer+constraints,design_11_seq_1,design_01_s2,design_01,2.0,3,0.878,0.878,0.8737,0.4133
negsteer+constraints,design_11_seq_1,design_00_s2,design_00,2.0,3,0.8352,0.8352,0.8291,0.3424
negsteer+constraints,design_11_seq_1,design_00_s0,design_00,0.0,3,0.8804,0.8804,0.8754,0.4102
negsteer+constraints,design_11_seq_1,design_00_s1,design_00,1.0,3,0.8873,0.8873,0.8827,0.4266
negsteer+constraints,design_14_seq_0,initial,initial,0.0,0,0.8338,0.8338,0.8338,0.2152
negsteer+constraints,design_14_seq_0,initial_s1,initial,1.0,0,0.8441,0.8441,0.8441,0.2391
negsteer+constraints,design_14_seq_0,initial_s2,initial,2.0,0,0.8446,0.8446,0.8446,0.2386
negsteer+constraints,design_15_seq_1,initial,initial,0.0,0,0.8067,0.8067,0.8067,0.1989
negsteer+constraints,design_15_seq_1,initial_s1,initial,1.0,0,0.8268,0.8268,0.8268,0.2187
negsteer+constraints,design_15_seq_1,initial_s2,initial,2.0,0,0.8379,0.8379,0.8379,0.2385
negsteer+constraints,design_17_seq_0,initial,initial,0.0,0,0.6578,0.6578,0.6578,0.1105
negsteer+constraints,design_17_seq_0,initial_s2,initial,2.0,0,0.7061,0.7061,0.7061,0.1375
negsteer+constraints,design_17_seq_0,initial_s1,initial,1.0,0,0.7599,0.7599,0.7599,0.169
negsteer+constraints,design_18_seq_0,initial,initial,,0,0.7111,0.7111,0.7111,0.1097
negsteer+constraints,design_18_seq_0,design_00_s0,design_00,0.0,3,0.8043,0.8043,0.7946,0.2312
negsteer+constraints,design_18_seq_0,design_02_s1,design_02,1.0,3,0.8756,0.8756,0.8691,0.3292
negsteer+constraints,design_18_seq_0,design_00_s2,design_00,2.0,3,0.7633,0.7633,0.7523,0.1951
negsteer+constraints,design_18_seq_0,design_02_s2,design_02,2.0,3,0.8862,0.8862,0.8801,0.3533
negsteer+constraints,design_18_seq_0,design_00_s1,design_00,1.0,3,0.8231,0.8231,0.8142,0.252
negsteer+constraints,design_18_seq_0,design_02_s0,design_02,0.0,3,0.8769,0.8769,0.8703,0.336
negsteer+constraints,design_18_seq_0,design_01_s0,design_01,0.0,3,0.2406,0.2406,0.2406,0.0106
negsteer+constraints,design_18_seq_0,design_01_s1,design_01,1.0,3,0.2033,0.2033,0.2033,0.0091
negsteer+constraints,design_18_seq_0,design_01_s2,design_01,2.0,3,0.1481,0.1481,0.1481,0.0059
negsteer+constraints,design_21_seq_1,initial,initial,0.0,0,0.8691,0.8691,0.8691,0.361
negsteer+constraints,design_21_seq_1,initial_s2,initial,2.0,0,0.8917,0.8917,0.8917,0.4052
negsteer+constraints,design_21_seq_1,initial_s1,initial,1.0,0,0.8759,0.8759,0.8759,0.3834
negsteer+constraints,design_26_seq_1,initial,initial,0.0,0,0.8516,0.8516,0.8516,0.2764
